,x,speed
1,NA,NA
5,7,24
4,8,26
20,10,30
18,11,34
6,12,36
2,13,36
3,14,38
10,15,40
13,16,42
23,17,44
21,19,49
16,20,52
7,23,62
24,24,70
22,25,75
17,26,75
8,27,75
14,28,75
19,29,75
11,32,80
9,33,80
15,50,130
12,68,180
