year,month,day,39N,38N
1988,6,28,5.171,4.052
1988,6,29,3.857,2.335
1988,6,30,3.221,1.52
1988,7,1,2.343,1.23
1988,7,2,1.055,0.256
1988,7,3,1.622,0.239
1988,7,4,1.615,0.192
1988,7,5,1.475,0.832
1988,7,6,3.327,1.983
1988,7,7,2.146,0.943
1988,7,8,0.695,-0.119
1988,7,9,2.212,1.176
1988,7,10,2.646,1.429
1988,7,11,1.713,0.77
1988,7,12,0.537,0.123
1988,7,13,0.975,0.181
1988,7,14,0.841,0.118
1988,7,15,1.02,0.204
1988,7,16,2.969,1.34
1988,7,17,2.264,0.894
1988,7,18,0.322,-0.246
1988,7,19,0.302,-0.009
1988,7,20,0.637,-0.02
1988,7,21,0.802,0.057
1988,7,22,0.778,-0.048
1988,7,23,0.499,0.152
1988,7,24,0.365,0.375
1988,7,25,0.54,0.392
1988,7,26,0.917,0.649
1988,7,27,0.67,-0.4
1988,7,28,2.159,0.98
1988,7,29,2.577,1.763
1988,7,30,1.636,0.902
1988,7,31,0.216,0.111
1988,8,1,0.744,0.163
1988,8,2,0.345,-0.133
1988,8,3,-0.203,-0.39
1988,8,4,0.164,-0.002
1988,8,5,0.096,-0.041
1988,8,6,-0.33,-0.622
1988,8,7,1.073,0.307
1988,8,8,2.849,1.696
1988,8,9,1.046,0.496
1988,8,10,0.405,-0.092
1988,8,11,0.455,0.06
1988,8,12,0.269,0.504
1988,8,13,0.696,0.662
1988,8,14,1.553,0.964
1988,8,15,2.393,1.654
1988,8,16,1.037,0.57
1988,8,17,1.951,1.059
1988,8,18,3.32,2.3
1988,8,19,1.385,0.568
1988,8,20,-0.388,-0.385
1988,8,21,-0.265,-0.161
1988,8,22,0.243,0.082
1988,8,23,-0.196,-0.125
1988,8,24,0.413,0.191
1988,8,25,1.031,0.525
1988,8,26,3.568,2.644
1988,8,27,2.36,1.429
1988,8,28,-1.041,-0.714
1988,8,29,0.166,-0.352
1988,8,30,2.967,1.514
1988,8,31,2.148,1.072
1988,9,1,0.491,0.247
1988,9,2,0.285,0.159
1988,9,3,1.634,1.213
1988,9,4,1.989,0.997
1988,9,5,1.519,0.859
1988,9,6,1.985,1.316
1988,9,7,1.585,0.754
1988,9,8,0.352,0.048
1988,9,9,0.442,0.013
1988,9,10,1.749,0.427
1988,9,11,0.121,-0.155
1988,9,12,-0.296,-0.493
1988,9,13,-0.214,-0.382
1988,9,14,-0.505,-0.504
1988,9,15,1.241,0.31
1988,9,16,3.738,1.868
1988,9,17,3.471,2.099
1988,9,18,2.112,1.521
1988,9,19,1.299,1.178
1988,9,20,2.491,1.559
1988,9,21,0.417,0.192
1988,9,22,0.251,0.116
1988,9,23,0.368,0.276
1988,9,24,-0.427,-0.472
1988,9,25,0.084,0.246
1988,9,26,1.411,1.308
1988,9,27,0.748,0.511
1988,9,28,1.352,0.58
1988,9,29,1.5,0.745
1988,9,30,0.534,0.276
1988,10,1,-0.67,-0.221
1988,10,2,0.61,0.341
1988,10,3,0.253,0.071
1988,10,4,0.39,-0.261
1988,10,5,0.272,-0.182
1988,10,6,0.081,-0.216
1988,10,7,-0.14,-0.222
1988,10,8,0.955,0.287
1988,10,9,1.633,0.961
1988,10,10,0.733,0.329
1988,10,11,0.234,-0.123
1988,10,12,0.214,-0.086
1988,10,13,-1.181,-1.01
1988,10,14,-0.572,-0.341
1988,10,15,1.121,0.451
1988,10,16,1.374,0.497
1988,10,17,0.009,-0.253
1988,10,18,0.945,0.373
1988,10,19,2.17,1.545
1988,10,20,2.363,1.385
1988,10,21,0.872,0.47
1988,10,22,1.152,0.961
1988,10,23,0.771,0.343
1988,10,24,0.253,0.13
1988,10,25,0.609,0.38
1988,10,26,0.674,0.261
1988,10,27,0.158,0.209
1988,10,28,0.041,0.085
1988,10,29,-0.127,-0.129
1988,10,30,0.131,0.179
1988,10,31,0.958,0.852
1988,11,1,0.045,0.007
1988,11,2,-0.289,0.072
1988,11,3,0.326,-0.239
1988,11,4,-0.036,-0.101
1988,11,5,-0.228,-0.216
1988,11,6,1.392,1.372
1988,11,7,2.323,1.247
1988,11,8,0.41,-0.086
1988,11,9,-0.647,-0.456
1988,11,10,0.283,-0.205
1988,11,11,0.274,0.206
1988,11,12,0.336,0.2
1988,11,13,0.577,0.241
1988,11,14,0.932,0.741
1988,11,15,0.059,0.041
1988,11,16,0.043,-0.054
1988,11,17,1.792,1.574
1988,11,18,1.73,1.741
1988,11,19,0.866,0.266
1988,11,20,-0.23,-0.211
1988,11,21,-0.532,-0.254
1988,11,22,-0.141,-0.305
1988,11,23,1.002,0.929
1988,11,24,-0.586,-0.521
1988,11,25,0.738,0.562
1988,11,26,0.362,0.405
1988,11,27,0.113,0.199
1988,11,28,1.447,0.926
1988,11,29,0.887,0.339
1988,11,30,-0.239,-0.459
1988,12,1,-0.555,-0.022
1988,12,2,-0.822,-0.585
1988,12,3,-0.461,-0.308
1988,12,4,0.574,0.296
1988,12,5,0.331,0.088
1988,12,6,0.294,0.201
1988,12,7,2.683,2.559
1988,12,8,1.729,0.417
1988,12,9,1.078,0.329
1988,12,10,1.267,0.7
1988,12,11,0.224,0.032
1988,12,12,0.179,0.173
1988,12,13,1.756,0.999
1988,12,14,5.052,2.046
1988,12,15,1.281,0.856
1988,12,16,0.005,-0.442
1988,12,17,-0.094,-0.299
1988,12,18,-0.059,-0.3
1988,12,19,0.439,-0.211
1988,12,20,0.209,-0.23
1988,12,21,0.888,0.639
1988,12,22,0.419,0.321
1988,12,23,0.131,-0.164
1988,12,24,0.717,0.924
1988,12,25,3.14,1.884
1988,12,26,0.897,0.474
1988,12,27,1.287,0.696
1988,12,28,1.614,0.807
1988,12,29,0.291,0.023
1988,12,30,-0.431,-0.976
1988,12,31,1.748,0.806
1989,1,1,0.381,-0.139
1989,1,2,-0.164,-0.376
1989,1,3,-0.186,-0.263
1989,1,4,-0.369,-0.282
1989,1,5,1.363,0.841
1989,1,6,1.034,0.844
1989,1,7,1.415,1.091
1989,1,8,-0.069,-0.281
1989,1,9,-0.05,-0.157
1989,1,10,2.33,1.522
1989,1,11,2.982,2.107
1989,1,12,0.225,-0.353
1989,1,13,-0.418,-0.109
1989,1,14,0.464,0.743
1989,1,15,-0.168,0.275
1989,1,16,0.154,0.274
1989,1,17,0.648,0.996
1989,1,18,1.028,0.455
1989,1,19,-0.232,0.287
1989,1,20,0.089,0.274
1989,1,21,0.231,0.474
1989,1,22,0.588,0.42
1989,1,23,1.722,1.317
1989,1,24,2.442,2.319
1989,1,25,1.869,1.058
1989,1,26,0.063,-0.393
1989,1,27,0.92,0.546
1989,1,28,2.299,0.891
1989,1,29,0.66,-0.084
1989,1,30,0.061,-0.046
1989,1,31,1.368,0.696
1989,2,1,2.064,0.886
1989,2,2,0.337,0.121
1989,2,3,0.2,0.317
1989,2,4,1.35,1.074
1989,2,5,1.081,0.624
1989,2,6,-0.067,-0.137
1989,2,7,-0.454,-0.589
1989,2,8,0.344,-0.491
1989,2,9,-1.244,-1.45
1989,2,10,0.036,0.625
1989,2,11,2.065,0.638
1989,2,12,3.293,2.077
1989,2,13,4.211,2.011
1989,2,14,2.335,0.705
1989,2,15,0.162,-0.263
1989,2,16,0.649,-0.82
1989,2,17,0.514,-0.474
1989,2,18,-0.444,-0.841
1989,2,19,0.753,-0.078
1989,2,20,0.194,-0.501
1989,2,21,0.044,-0.349
1989,2,22,0.065,-0.302
1989,2,23,0.38,-0.026
1989,2,24,0.543,0.218
1989,2,25,1.129,0.472
1989,2,26,1.647,0.71
1989,2,27,2.693,1.116
1989,2,28,3.137,1.979
1989,3,1,0.271,-0.26
1989,3,2,1.264,0.721
1989,3,3,1.423,1.026
1989,3,4,-0.917,-0.443
1989,3,5,-2.619,-0.843
1989,3,6,0.14,0.275
1989,3,7,0.804,0.25
1989,3,8,-0.296,-0.172
1989,3,9,-2.582,-1.867
1989,3,10,-1.4,-0.574
1989,3,11,-0.913,-0.458
1989,3,12,-0.41,0.017
1989,3,13,0.873,0.98
1989,3,14,1.088,1.032
1989,3,15,-0.059,-0.234
1989,3,16,-0.468,-0.471
1989,3,17,-1.197,-0.81
1989,3,18,-0.895,-0.635
1989,3,19,-0.016,0.052
1989,3,20,0.47,0.44
1989,3,21,0.802,0.411
1989,3,22,2.024,1.143
1989,3,23,-0.325,-0.459
1989,3,24,-0.656,-0.767
1989,3,25,0.213,0.36
1989,3,26,0.987,0.79
1989,3,27,-0.07,-0.125
1989,3,28,0.168,0.009
1989,3,29,0.991,0.682
1989,3,30,0.79,0.353
1989,3,31,1.376,0.773
1989,4,1,0.635,0.453
1989,4,2,0.002,-0.187
1989,4,3,0.825,0.647
1989,4,4,1.015,0.624
1989,4,5,0.704,0.035
1989,4,6,0.496,0.136
1989,4,7,1.352,0.544
1989,4,8,1.342,0.575
1989,4,9,0.227,-0.097
1989,4,10,2.652,1.465
1989,4,11,3.089,1.52
1989,4,12,0.96,0.151
1989,4,13,0.28,-0.251
1989,4,14,0.179,-0.291
1989,4,15,0.652,0.058
1989,4,16,0.754,0.21
1989,4,17,0.048,-0.319
1989,4,18,0.271,0.15
1989,4,19,0.004,0.086
1989,4,20,-0.199,-0.282
1989,4,21,0.52,0.278
1989,4,22,0.151,0.023
1989,4,23,0.519,0.214
1989,4,24,0.696,0.239
1989,4,25,0.689,0.391
1989,4,26,0.349,0.001
1989,4,27,0.143,-0.113
1989,4,28,0.611,0.369
1989,4,29,-0.268,-0.196
1989,4,30,-0.049,-0.168
1989,5,1,0.158,0.16
1989,5,2,0.514,0.306
1989,5,3,0.943,0.667
1989,5,4,1.171,1.049
1989,5,5,1.077,0.908
1989,5,6,0.965,0.268
1989,5,7,1.321,0.55
1989,5,8,1.934,0.387
1989,5,9,2.351,1.45
1989,5,10,3.52,2.063
1989,5,11,4.371,3.733
1989,5,12,3.855,2.337
1989,5,13,3.293,2.319
1989,5,14,1.579,0.001
1989,5,15,0.918,0.112
1989,5,16,2.223,0.823
1989,5,17,2.195,1.064
1989,5,18,1.701,1.043
1989,5,19,2.265,0.766
1989,5,20,1.544,0.473
1989,5,21,0.61,0.2
1989,5,22,0.064,-0.007
1989,5,23,0.033,-0.145
1989,5,24,0.29,0
1989,5,25,1.778,1.172
1989,5,26,2.41,1.707
1989,5,27,3.254,1.756
1989,5,28,1.817,1.098
1989,5,29,0.977,0.212
1989,5,30,1.36,0.306
1989,5,31,1.633,0.457
1989,6,1,0.996,0.225
1989,6,2,0.643,0.096
1989,6,3,1.917,0.537
1989,6,4,1.039,0.16
1989,6,5,0.363,-0.089
1989,6,6,0.582,0.379
1989,6,7,1.584,0.895
1989,6,8,2.612,1.498
1989,6,9,3.064,1.651
1989,6,10,2.001,0.562
1989,6,11,0.443,-0.246
1989,6,12,1.207,0.324
