 mm/dd/yyyy   hh:mm:ss       PrdM     Tv290C      C0S/m      DepSM      Sal00  Density00
 07/28/2020   18:34:38     -0.181    14.9015   0.090759     -0.180     0.5620   999.5504
 07/28/2020   18:34:40     -0.180    14.8977   0.099871     -0.179     0.6210   999.5967
 07/28/2020   18:34:42     -0.181    14.8935   0.107069     -0.180     0.6678   999.6335
 07/28/2020   18:34:44     -0.181    14.8890   0.106564     -0.180     0.6646   999.6317
 07/28/2020   18:34:46     -0.180    14.8847   0.108276     -0.179     0.6758   999.6410
 07/28/2020   18:34:48     -0.180    14.8814   0.100893     -0.179     0.6279   999.6045
 07/28/2020   18:34:50     -0.181    14.8778   0.092701     -0.180     0.5751   999.5642
 07/28/2020   18:34:52     -0.100    15.1578   1.569287     -0.100    12.2767  1008.4913
 07/28/2020   18:34:54      0.691    15.5638   4.182497      0.686    33.5196  1024.7100
 07/28/2020   18:34:56      0.993    15.4678   4.179445      0.986    33.5738  1024.7743
 07/28/2020   18:34:58      0.973    15.4122   4.174603      0.965    33.5778  1024.7896
 07/28/2020   18:35:00      1.025    15.3816   4.172219      1.017    33.5826  1024.8003
 07/28/2020   18:35:02      1.004    15.3600   4.171212      0.997    33.5920  1024.8122
 07/28/2020   18:35:04      1.015    15.3725   4.171582      1.007    33.5846  1024.8039
 07/28/2020   18:35:06      1.007    15.3995   4.171049      1.000    33.5568  1024.7764
 07/28/2020   18:35:08      1.025    15.3666   4.168446      1.017    33.5615  1024.7874
 07/28/2020   18:35:10      1.065    15.3521   4.166642      1.057    33.5576  1024.7877
 07/28/2020   18:35:12      0.998    15.3281   4.165704      0.990    33.5697  1024.8021
 07/28/2020   18:35:14      1.064    15.3250   4.165492      1.056    33.5704  1024.8036
 07/28/2020   18:35:16      1.016    15.3499   4.167147      1.008    33.5640  1024.7929
 07/28/2020   18:35:18      1.137    15.4028   4.174991      1.129    33.5892  1024.8012
 07/28/2020   18:35:20      1.062    15.3632   4.171049      1.054    33.5877  1024.8085
 07/28/2020   18:35:22      1.054    15.3600   4.172236      1.047    33.6011  1024.8195
 07/28/2020   18:35:24      1.043    15.4538   4.181955      1.035    33.6083  1024.8042
 07/28/2020   18:35:26      1.094    15.4958   4.185725      1.086    33.6062  1024.7935
 07/28/2020   18:35:28      1.083    15.4854   4.184737      1.075    33.6062  1024.7958
