 mm/dd/yyyy   hh:mm:ss       PrdM     Tv290C      C0S/m      DepSM      Sal00  Density00
 09/30/2020   18:43:49     -0.129    12.2037   0.138661     -0.128     0.9376  1000.2070
 09/30/2020   18:43:51     -0.128    12.2054   0.110634     -0.127     0.7403  1000.0530
 09/30/2020   18:43:53     -0.129    12.2103   0.096461     -0.128     0.6413   999.9753
 09/30/2020   18:43:55     -0.129    12.2127   0.085597     -0.128     0.5662   999.9165
 09/30/2020   18:43:57     -0.129    12.2143   0.068131     -0.128     0.4476   999.8238
 09/30/2020   18:43:59      0.101    12.2976   2.319680      0.100    19.9098  1014.8599
 09/30/2020   18:44:01      0.782    12.3371   3.900413      0.777    33.7242  1025.5376
 09/30/2020   18:44:03      0.965    12.3376   3.899612      0.958    33.7160  1025.5319
 09/30/2020   18:44:05      0.954    12.3357   3.899412      0.948    33.7157  1025.5320
 09/30/2020   18:44:07      1.013    12.3318   3.899161      1.006    33.7168  1025.5339
 09/30/2020   18:44:09      1.015    12.3219   3.898814      1.007    33.7223  1025.5401
 09/30/2020   18:44:11      0.968    12.3182   3.898247      0.960    33.7203  1025.5390
 09/30/2020   18:44:13      0.999    12.3207   3.899285      0.992    33.7280  1025.5446
 09/30/2020   18:44:15      1.021    12.3035   3.898338      1.014    33.7343  1025.5530
 09/30/2020   18:44:17      0.993    12.3194   3.899027      0.986    33.7267  1025.5439
 09/30/2020   18:44:19      0.961    12.3216   3.899402      0.954    33.7283  1025.5446
 09/30/2020   18:44:21      0.997    12.3121   3.899478      0.989    33.7376  1025.5537
 09/30/2020   18:44:23      0.984    12.3113   3.899233      0.976    33.7359  1025.5526
 09/30/2020   18:44:25      1.003    12.3140   3.899657      0.995    33.7377  1025.5534
 09/30/2020   18:44:27      0.998    12.3038   3.898445      0.991    33.7351  1025.5534
 09/30/2020   18:44:29      0.987    12.2838   3.895584      0.979    33.7256  1025.5498
 09/30/2020   18:44:31      0.981    12.2693   3.894659      0.974    33.7297  1025.5558
 09/30/2020   18:44:33      0.972    12.2625   3.892590      0.965    33.7158  1025.5462
 09/30/2020   18:44:35      1.011    12.2295   3.888705      1.003    33.7081  1025.5467
 09/30/2020   18:44:37      0.990    12.2284   3.888614      0.982    33.7082  1025.5469
 09/30/2020   18:44:39      0.975    12.2307   3.888862      0.967    33.7084  1025.5466
 09/30/2020   18:44:41      1.004    12.2323   3.888981      0.996    33.7082  1025.5462
 09/30/2020   18:44:43      0.993    12.2367   3.889352      0.985    33.7078  1025.5450
 09/30/2020   18:44:45      0.990    12.2304   3.888720      0.982    33.7074  1025.5459
 09/30/2020   18:44:47      0.998    12.2328   3.889082      0.991    33.7087  1025.5465
 09/30/2020   18:44:49      0.976    12.2264   3.888357      0.968    33.7075  1025.5467
 09/30/2020   18:44:51      1.046    12.2170   3.887689      1.038    33.7094  1025.5503
 09/30/2020   18:44:53      2.007    12.1424   3.880531      1.992    33.7071  1025.5670
 09/30/2020   18:44:55      3.245    12.0677   3.873896      3.220    33.7098  1025.5888
 09/30/2020   18:44:57      4.294    11.8973   3.858289      4.262    33.7117  1025.6272
 09/30/2020   18:44:59      5.539    11.4932   3.821367      5.498    33.7172  1025.7121
 09/30/2020   18:45:01      6.636    11.2632   3.801212      6.587    33.7283  1025.7678
 09/30/2020   18:45:03      7.752    11.1533   3.791423      7.693    33.7316  1025.7953
 09/30/2020   18:45:05      8.805    11.0547   3.782656      8.739    33.7347  1025.8202
 09/30/2020   18:45:07      9.848    10.9544   3.773729      9.774    33.7377  1025.8453
 09/30/2020   18:45:09     10.484    10.9392   3.772555     10.405    33.7398  1025.8524
 09/30/2020   18:45:11     10.385    10.9416   3.772672     10.307    33.7387  1025.8507
 09/30/2020   18:45:13      9.488    10.9455   3.772928      9.417    33.7381  1025.8455
 09/30/2020   18:45:15      8.456    10.9738   3.775259      8.393    33.7357  1025.8339
 09/30/2020   18:45:17      7.471    11.0356   3.780458      7.415    33.7310  1025.8147
 09/30/2020   18:45:19      6.507    11.1432   3.790262      6.458    33.7300  1025.7902
 09/30/2020   18:45:21      5.456    11.1902   3.794364      5.415    33.7280  1025.7754
 09/30/2020   18:45:23      4.439    11.3013   3.804250      4.406    33.7245  1025.7479
 09/30/2020   18:45:25      3.356    11.5522   3.826350      3.331    33.7134  1025.6885
 09/30/2020   18:45:27      2.336    11.8097   3.850290      2.319    33.7141  1025.6366
 09/30/2020   18:45:29      1.228    12.0679   3.873773      1.219    33.7093  1025.5793
 09/30/2020   18:45:31      0.198    12.2223   3.887040      0.197    33.6988  1025.5372
 09/30/2020   18:45:33     -0.129    12.1553   3.827356     -0.128    33.1895  1025.1538
 09/30/2020   18:45:35     -0.131    12.0969   0.767604     -0.130     5.8197  1004.0035
 09/30/2020   18:45:37     -0.130    12.0672   0.417732     -0.129     3.0217  1001.8420
 09/30/2020   18:45:39     -0.130    12.0369   0.346727     -0.129     2.4782  1001.4243
 09/30/2020   18:45:41     -0.131    12.0088   0.304781     -0.130     2.1640  1001.1837
 09/30/2020   18:45:43     -0.129    12.0150   0.322239     -0.128     2.2926  1001.2829
 09/30/2020   18:45:45     -0.130    11.9929   0.346141     -0.129     2.4747  1001.4270
 09/30/2020   18:45:47     -0.130    11.9680   0.248859     -0.129     1.7478  1000.8652
 09/30/2020   18:45:48     -0.131    11.9544   0.212104     -0.130     1.5011  1000.6749
