 mm/dd/yyyy   hh:mm:ss       PrdM     Tv290C      C0S/m      DepSM      Sal00  Density00
 10/11/2019   16:57:31     -0.109    11.5584   0.157767     -0.108     1.0922  1000.4018
 10/11/2019   16:57:33     -0.053    11.6086   1.072376     -0.052     9.0902  1006.5889
 10/11/2019   16:57:35      0.786    11.7419   3.841619      0.780    33.6917  1025.6250
 10/11/2019   16:57:37      1.084    11.7248   3.843251      1.076    33.7230  1025.6538
 10/11/2019   16:57:39      1.054    11.7012   3.842790      1.046    33.7399  1025.6712
 10/11/2019   16:57:41      1.051    11.6883   3.841862      1.043    33.7426  1025.6757
 10/11/2019   16:57:43      1.016    11.7006   3.842199      1.008    33.7347  1025.6671
 10/11/2019   16:57:45      1.019    11.6857   3.841165      1.011    33.7382  1025.6726
 10/11/2019   16:57:47      1.123    11.6741   3.840854      1.115    33.7456  1025.6810
 10/11/2019   16:57:49      1.119    11.6618   3.840312      1.110    33.7516  1025.6878
 10/11/2019   16:57:51      1.111    11.6571   3.839428      1.103    33.7472  1025.6853
 10/11/2019   16:57:53      1.064    11.6562   3.839210      1.056    33.7459  1025.6842
 10/11/2019   16:57:55      1.152    11.6572   3.839194      1.143    33.7447  1025.6835
 10/11/2019   16:57:57      1.105    11.6552   3.839050      1.097    33.7451  1025.6840
 10/11/2019   16:57:59      1.103    11.6498   3.839443      1.094    33.7539  1025.6918
 10/11/2019   16:58:01      1.129    11.6417   3.839128      1.120    33.7582  1025.6968
 10/11/2019   16:58:03      1.119    11.6453   3.838977      1.110    33.7535  1025.6924
 10/11/2019   16:58:05      1.099    11.6472   3.838975      1.091    33.7517  1025.6906
 10/11/2019   16:58:07      1.160    11.6491   3.838881      1.151    33.7490  1025.6884
 10/11/2019   16:58:09      1.101    11.6468   3.839020      1.093    33.7525  1025.6913
 10/11/2019   16:58:11      1.106    11.6511   3.839145      1.098    33.7498  1025.6884
 10/11/2019   16:58:13      1.117    11.6529   3.839164      1.108    33.7484  1025.6870
 10/11/2019   16:58:15      1.164    11.6557   3.839496      1.155    33.7491  1025.6872
 10/11/2019   16:58:17      1.128    11.6619   3.840288      1.120    33.7511  1025.6875
 10/11/2019   16:58:19      1.127    11.6629   3.840368      1.118    33.7510  1025.6873
 10/11/2019   16:58:21      1.138    11.6623   3.840285      1.129    33.7508  1025.6872
 10/11/2019   16:58:23      1.118    11.6666   3.840727      1.109    33.7512  1025.6867
 10/11/2019   16:58:25      1.120    11.6713   3.841163      1.111    33.7512  1025.6858
 10/11/2019   16:58:27      1.107    11.6734   3.841414      1.099    33.7518  1025.6857
 10/11/2019   16:58:29      1.113    11.6684   3.840892      1.104    33.7512  1025.6863
 10/11/2019   16:58:31      1.108    11.6633   3.840423      1.099    33.7512  1025.6873
 10/11/2019   16:58:33      1.181    11.6590   3.839979      1.172    33.7508  1025.6881
 10/11/2019   16:58:35      1.119    11.6655   3.840655      1.110    33.7515  1025.6871
 10/11/2019   16:58:37      1.172    11.6620   3.840283      1.164    33.7510  1025.6876
 10/11/2019   16:58:39      1.153    11.6642   3.840469      1.144    33.7509  1025.6870
 10/11/2019   16:58:41      0.660    11.6876   3.842740      0.655    33.7520  1025.6813
 10/11/2019   16:58:43      0.741    11.6886   3.842848      0.736    33.7521  1025.6816
 10/11/2019   16:58:45      1.522    11.6470   3.838992      1.510    33.7519  1025.6926
 10/11/2019   16:58:47      2.790    11.5227   3.827210      2.769    33.7490  1025.7191
 10/11/2019   16:58:49      3.687    11.4613   3.821884      3.659    33.7524  1025.7370
 10/11/2019   16:58:51      4.950    11.4047   3.816601      4.913    33.7515  1025.7524
 10/11/2019   16:58:53      5.937    11.3632   3.812894      5.893    33.7524  1025.7652
 10/11/2019   16:58:55      6.998    11.3003   3.807058      6.945    33.7520  1025.7811
 10/11/2019   16:58:57      7.994    11.2428   3.801869      7.934    33.7529  1025.7967
 10/11/2019   16:58:59      9.208    11.0974   3.788478      9.139    33.7531  1025.8286
 10/11/2019   16:59:01     10.281    11.0587   3.785180     10.204    33.7555  1025.8423
 10/11/2019   16:59:03     10.856    11.0631   3.785531     10.775    33.7546  1025.8435
 10/11/2019   16:59:05     10.991    11.0707   3.786236     10.908    33.7546  1025.8426
 10/11/2019   16:59:07     10.924    11.0695   3.786042     10.842    33.7539  1025.8420
 10/11/2019   16:59:09     10.620    11.0686   3.785966     10.540    33.7541  1025.8410
 10/11/2019   16:59:11     10.282    11.0631   3.785376     10.205    33.7534  1025.8399
 10/11/2019   16:59:13      9.593    11.0666   3.785657      9.521    33.7533  1025.8361
 10/11/2019   16:59:15      8.555    11.1152   3.790137      8.491    33.7535  1025.8228
 10/11/2019   16:59:17      7.501    11.1954   3.797407      7.445    33.7524  1025.8027
 10/11/2019   16:59:19      6.565    11.2594   3.803221      6.515    33.7517  1025.7864
 10/11/2019   16:59:21      5.804    11.2855   3.805385      5.760    33.7495  1025.7765
 10/11/2019   16:59:23      4.574    11.3862   3.814848      4.540    33.7513  1025.7539
 10/11/2019   16:59:25      3.589    11.4321   3.818971      3.562    33.7504  1025.7404
 10/11/2019   16:59:27      2.725    11.4482   3.820393      2.705    33.7500  1025.7332
 10/11/2019   16:59:29      1.680    11.4865   3.823899      1.667    33.7501  1025.7216
 10/11/2019   16:59:31      0.693    11.5250   3.827358      0.688    33.7493  1025.7095
 10/11/2019   16:59:33     -0.045    11.5551   3.831171     -0.044    33.7597  1025.7087
 10/11/2019   16:59:35     -0.113    11.5179   3.658731     -0.112    32.1364  1024.4559
 10/11/2019   16:59:37     -0.112    11.5060   1.052403     -0.111     8.5299  1006.1758
 10/11/2019   16:59:39     -0.112    11.4952   0.414739     -0.111     3.0405  1001.9250
 10/11/2019   16:59:41     -0.113    11.4873   0.342846     -0.112     2.5560  1001.5495
