 mm/dd/yyyy   hh:mm:ss       PrdM     Tv290C      C0S/m      DepSM      Sal00  Density00
 06/23/2020   19:27:10     -0.140    12.5656   0.461580     -0.139     3.5105  1002.1507
 06/23/2020   19:27:12      0.485    12.6791   3.904180      0.481    33.4582  1025.2641
 06/23/2020   19:27:14      1.032    12.6823   3.959252      1.024    33.9782  1025.6686
 06/23/2020   19:27:16      1.052    12.6519   3.955267      1.044    33.9675  1025.6664
 06/23/2020   19:27:18      0.992    12.6495   3.953832      0.985    33.9559  1025.6576
 06/23/2020   19:27:20      1.017    12.6504   3.954096      1.009    33.9577  1025.6589
 06/23/2020   19:27:22      1.007    12.6414   3.953185      1.000    33.9570  1025.6601
 06/23/2020   19:27:24      0.970    12.6545   3.953958      0.963    33.9527  1025.6540
 06/23/2020   19:27:26      0.956    12.6521   3.954476      0.949    33.9598  1025.6600
 06/23/2020   19:27:28      0.944    12.6435   3.954630      0.937    33.9690  1025.6688
 06/23/2020   19:27:30      0.986    12.6391   3.954688      0.978    33.9735  1025.6733
 06/23/2020   19:27:32      1.011    12.6410   3.954948      1.003    33.9743  1025.6736
 06/23/2020   19:27:34      0.974    12.6430   3.955187      0.967    33.9748  1025.6735
 06/23/2020   19:27:36      1.023    12.6447   3.955411      1.015    33.9754  1025.6738
 06/23/2020   19:27:38      1.062    12.6448   3.955590      1.054    33.9770  1025.6752
 06/23/2020   19:27:40      1.015    12.6489   3.955653      1.007    33.9739  1025.6718
 06/23/2020   19:27:42      0.995    12.6439   3.955776      0.988    33.9796  1025.6771
 06/23/2020   19:27:44      1.040    12.6457   3.955862      1.032    33.9788  1025.6763
 06/23/2020   19:27:46      1.048    12.6454   3.955969      1.040    33.9801  1025.6774
 06/23/2020   19:27:48      1.003    12.6499   3.955935      0.995    33.9757  1025.6730
 06/23/2020   19:27:50      1.069    12.6292   3.946806      1.061    33.9069  1025.6240
 06/23/2020   19:27:52      1.022    12.6164   3.951867      1.014    33.9669  1025.6728
 06/23/2020   19:27:54      1.048    12.6205   3.952306      1.040    33.9675  1025.6725
 06/23/2020   19:27:56      1.052    12.6246   3.952652      1.044    33.9671  1025.6715
 06/23/2020   19:27:58      1.055    12.6248   3.952868      1.047    33.9689  1025.6728
 06/23/2020   19:28:00      1.050    12.6245   3.952946      1.042    33.9700  1025.6737
 06/23/2020   19:28:02      1.065    12.6277   3.953090      1.057    33.9685  1025.6720
 06/23/2020   19:28:04      1.056    12.6307   3.953206      1.048    33.9669  1025.6701
 06/23/2020   19:28:06      1.039    12.6280   3.953296      1.031    33.9702  1025.6731
 06/23/2020   19:28:08      1.061    12.6280   3.953339      1.053    33.9706  1025.6735
 06/23/2020   19:28:10      0.983    12.6308   3.953545      0.976    33.9700  1025.6722
 06/23/2020   19:28:12      0.666    12.6336   3.953857      0.661    33.9707  1025.6707
 06/23/2020   19:28:14      0.682    12.6356   3.953826      0.677    33.9685  1025.6687
 06/23/2020   19:28:16      0.712    12.6360   3.953811      0.707    33.9680  1025.6684
 06/23/2020   19:28:18      0.587    12.6335   3.953700      0.582    33.9693  1025.6693
 06/23/2020   19:28:20      0.514    12.6358   3.953958      0.511    33.9697  1025.6689
 06/23/2020   19:28:22      0.323    12.6413   3.953953      0.320    33.9648  1025.6631
 06/23/2020   19:28:24      0.082    12.6485   3.953514      0.082    33.9542  1025.6524
 06/23/2020   19:28:26      0.022    12.6530   3.953598      0.022    33.9510  1025.6488
 06/23/2020   19:28:28      0.341    12.6498   3.954011      0.338    33.9577  1025.6560
 06/23/2020   19:28:30      0.665    12.6357   3.954306      0.660    33.9731  1025.6722
 06/23/2020   19:28:32      0.675    12.6362   3.954146      0.670    33.9711  1025.6706
 06/23/2020   19:28:34      0.662    12.6352   3.954090      0.657    33.9715  1025.6710
 06/23/2020   19:28:36      0.896    12.6277   3.953588      0.889    33.9733  1025.6750
 06/23/2020   19:28:38      1.928    12.6068   3.951681      1.914    33.9735  1025.6838
 06/23/2020   19:28:40      2.998    12.5818   3.949116      2.975    33.9710  1025.6916
 06/23/2020   19:28:42      4.027    12.5638   3.946431      3.997    33.9611  1025.6920
 06/23/2020   19:28:44      5.127    12.5573   3.945136      5.088    33.9540  1025.6927
 06/23/2020   19:28:46      6.203    12.4639   3.936966      6.156    33.9595  1025.7199
 06/23/2020   19:28:48      7.124    12.3863   3.930068      7.071    33.9630  1025.7418
 06/23/2020   19:28:50      8.334    12.3140   3.926587      8.272    33.9944  1025.7855
 06/23/2020   19:28:52      9.229    12.2011   3.920612      9.160    34.0389  1025.8458
 06/23/2020   19:28:54     10.329    11.9886   3.908107     10.252    34.1111  1025.9472
 06/23/2020   19:28:56     11.148    11.6259   3.882434     11.065    34.1929  1026.0826
 06/23/2020   19:28:58     10.945    11.4532   3.858183     10.863    34.1141  1026.0525
 06/23/2020   19:29:00     10.823    11.5338   3.862789     10.742    34.0853  1026.0146
 06/23/2020   19:29:02     10.634    11.5954   3.869931     10.554    34.0988  1026.0128
 06/23/2020   19:29:04      9.517    11.5838   3.867037      9.446    34.0815  1025.9965
 06/23/2020   19:29:06      8.494    11.6377   3.877970      8.430    34.1396  1026.0271
 06/23/2020   19:29:08      7.558    11.9404   3.882654      7.502    33.9085  1025.7866
 06/23/2020   19:29:10      6.724    12.0291   3.889332      6.674    33.8930  1025.7541
 06/23/2020   19:29:12      5.626    12.0356   3.892217      5.584    33.9157  1025.7655
 06/23/2020   19:29:14      4.613    12.0491   3.893913      4.578    33.9203  1025.7620
 06/23/2020   19:29:16      3.593    12.0593   3.894500      3.566    33.9172  1025.7530
 06/23/2020   19:29:18      2.742    12.0506   3.895251      2.721    33.9327  1025.7629
 06/23/2020   19:29:20      1.721    12.0327   3.895303      1.708    33.9500  1025.7751
 06/23/2020   19:29:22      0.687    12.0214   3.893560      0.682    33.9438  1025.7678
 06/23/2020   19:29:24     -0.095    12.1380   3.904933     -0.094    33.9485  1025.7457
 06/23/2020   19:29:26     -0.164    12.3437   1.028286     -0.163     7.9467  1005.6139
