 mm/dd/yyyy   hh:mm:ss       PrdM     Tv290C      C0S/m      DepSM      Sal00  Density00
 06/23/2020   19:12:49     -0.167    17.8490   0.001305     -0.166     0.0137   998.6344
 06/23/2020   19:12:51     -0.092    16.8799   0.683827     -0.092     5.4622  1002.9847
 06/23/2020   19:12:53      0.941    13.4514   3.853841      0.934    32.3164  1024.2300
 06/23/2020   19:12:55      1.089    13.3737   4.170284      1.081    35.3553  1026.5970
 06/23/2020   19:12:57      1.085    13.7938   4.212152      1.077    35.3615  1026.5145
 06/23/2020   19:12:59      1.170    13.9623   4.231424      1.161    35.3868  1026.4990
 06/23/2020   19:13:01      1.133    13.9806   4.246586      1.124    35.5120  1026.5920
 06/23/2020   19:13:03      1.093    13.8809   4.213346      1.085    35.2903  1026.4407
 06/23/2020   19:13:05      1.143    13.6042   4.173122      1.134    35.1667  1026.4031
 06/23/2020   19:13:07      1.119    13.4835   4.148913      1.111    35.0504  1026.3383
 06/23/2020   19:13:09      1.090    13.5301   4.144933      1.082    34.9713  1026.2674
 06/23/2020   19:13:11      1.162    13.6138   4.151704      1.154    34.9587  1026.2409
 06/23/2020   19:13:13      1.090    13.5377   4.163267      1.082    35.1373  1026.3946
 06/23/2020   19:13:15      1.112    13.4618   3.878557      1.104    32.5519  1024.4119
 06/23/2020   19:13:17      1.104    13.1615   3.636819      1.096    30.5442  1022.9190
 06/23/2020   19:13:19      1.140    13.0181   4.138082      1.132    35.3804  1026.6892
 06/23/2020   19:13:21      1.092    12.8805   4.118547      1.084    35.3222  1026.6716
 06/23/2020   19:13:23      1.101    12.8626   4.102244      1.093    35.1826  1026.5669
 06/23/2020   19:13:25      1.115    12.9228   4.089841      1.107    35.0079  1026.4195
 06/23/2020   19:13:27      1.134    13.0427   4.082168      1.125    34.8239  1026.2530
 06/23/2020   19:13:29      1.104    12.7603   3.973898      1.096    34.0478  1025.7076
 06/23/2020   19:13:31      1.106    12.7072   3.996241      1.098    34.3099  1025.9213
 06/23/2020   19:13:33      1.142    12.7318   4.003894      1.133    34.3608  1025.9560
 06/23/2020   19:13:35      1.086    12.7656   4.008030      1.078    34.3696  1025.9560
 06/23/2020   19:13:37      1.163    12.7536   4.004622      1.155    34.3479  1025.9418
 06/23/2020   19:13:39      1.106    12.8527   3.646917      1.098    30.8879  1023.2442
 06/23/2020   19:13:41      1.122    12.8368   3.474054      1.113    29.2646  1021.9906
 06/23/2020   19:13:43      1.029    12.8797   3.540458      1.021    29.8499  1022.4344
 06/23/2020   19:13:45      0.705    13.0956   3.881745      0.700    32.8798  1024.7354
 06/23/2020   19:13:47      0.682    13.0884   3.545827      0.677    29.7538  1022.3201
 06/23/2020   19:13:49      0.712    13.0298   3.540764      0.706    29.7409  1022.3206
 06/23/2020   19:13:51      0.523    13.0819   4.020412      0.520    34.2010  1025.7599
 06/23/2020   19:13:53      0.268    13.0956   4.017874      0.266    34.1646  1025.7277
 06/23/2020   19:13:55      0.045    12.9631   3.999972      0.045    34.1140  1025.7140
 06/23/2020   19:13:57     -0.012    13.1646   3.898715     -0.012    32.9819  1024.7976
 06/23/2020   19:13:59     -0.002    13.2353   3.719710     -0.002    31.2455  1023.4408
 06/23/2020   19:14:01     -0.006    13.2104   3.436985     -0.006    28.6320  1021.4256
 06/23/2020   19:14:03      0.006    13.1399   4.015273      0.006    34.1004  1025.6680
 06/23/2020   19:14:05      0.057    13.1115   4.019938      0.057    34.1699  1025.7277
 06/23/2020   19:14:07      0.041    13.1061   4.019932      0.040    34.1748  1025.7325
 06/23/2020   19:14:09      0.038    13.1067   4.018045      0.037    34.1563  1025.7181
 06/23/2020   19:14:11      0.033    13.1232   4.019602      0.033    34.1562  1025.7147
 06/23/2020   19:14:13      0.234    13.0875   4.015246      0.232    34.1470  1025.7156
 06/23/2020   19:14:15      0.710    12.8984   4.013829      0.704    34.3043  1025.8773
 06/23/2020   19:14:17      0.697    12.8708   4.014323      0.692    34.3341  1025.9058
 06/23/2020   19:14:19      0.692    12.8686   4.012453      0.687    34.3182  1025.8939
 06/23/2020   19:14:21      0.702    12.8840   4.011080      0.697    34.2912  1025.8700
 06/23/2020   19:14:23      0.723    12.8847   4.009947      0.718    34.2798  1025.8611
 06/23/2020   19:14:25      1.011    12.8545   3.996822      1.004    34.1817  1025.7924
 06/23/2020   19:14:27      2.014    12.7534   3.975872      1.999    34.0726  1025.7323
 06/23/2020   19:14:29      3.036    12.6388   3.968005      3.013    34.1006  1025.7810
 06/23/2020   19:14:31      4.099    12.4459   3.954705      4.068    34.1475  1025.8598
 06/23/2020   19:14:33      5.066    12.3494   3.944649      5.028    34.1380  1025.8755
 06/23/2020   19:14:35      5.911    12.2044   3.938342      5.866    34.2090  1025.9623
 06/23/2020   19:14:37      7.062    12.1104   3.930180      7.009    34.2154  1025.9904
 06/23/2020   19:14:39      7.957    12.0925   3.921619      7.897    34.1484  1025.9458
 06/23/2020   19:14:41      8.788    11.9967   3.905499      8.722    34.0790  1025.9138
 06/23/2020   19:14:43     10.001    11.8787   3.891771      9.926    34.0527  1025.9212
 06/23/2020   19:14:45     10.830    11.7905   3.881709     10.749    34.0371  1025.9290
