 mm/dd/yyyy   hh:mm:ss       PrdM     Tv290C      C0S/m      DepSM      Sal00  Density00
 07/15/2019   21:23:02      0.165    18.3538   4.528327      0.164    34.1780  1024.5560
 07/15/2019   21:23:04      0.165    18.3463   4.527977      0.164    34.1812  1024.5603
 07/15/2019   21:23:06      0.165    18.3443   4.528164      0.164    34.1846  1024.5633
 07/15/2019   21:23:08      0.164    18.3442   4.528438      0.163    34.1869  1024.5652
 07/15/2019   21:23:10      0.163    18.3448   4.528743      0.162    34.1890  1024.5666
 07/15/2019   21:23:12      0.163    18.3459   4.528979      0.162    34.1901  1024.5672
 07/15/2019   21:23:14      0.163    18.3473   4.529259      0.162    34.1913  1024.5677
 07/15/2019   21:23:16      0.163    18.3483   4.529357      0.162    34.1914  1024.5675
 07/15/2019   21:23:18      0.165    18.3492   4.529604      0.164    34.1926  1024.5683
 07/15/2019   21:23:20      0.165    18.3506   4.529760      0.164    34.1928  1024.5681
 07/15/2019   21:23:22      0.163    18.3519   4.529971      0.162    34.1935  1024.5683
 07/15/2019   21:23:24      0.164    18.3532   4.530207      0.163    34.1944  1024.5687
 07/15/2019   21:23:26      0.165    18.3541   4.530023      0.164    34.1921  1024.5667
 07/15/2019   21:23:28      0.164    18.3546   4.530167      0.163    34.1929  1024.5672
 07/15/2019   21:23:30      0.164    18.3544   4.529926      0.163    34.1910  1024.5658
 07/15/2019   21:23:32      0.165    18.3546   4.530152      0.164    34.1928  1024.5671
 07/15/2019   21:23:34      0.163    18.3552   4.530276      0.162    34.1933  1024.5673
 07/15/2019   21:23:36      0.162    18.3564   4.530557      0.161    34.1947  1024.5681
 07/15/2019   21:23:38      0.163    18.3579   4.530755      0.162    34.1951  1024.5680
 07/15/2019   21:23:40      0.164    18.3597   4.530888      0.163    34.1948  1024.5673
 07/15/2019   21:23:42      0.164    18.3614   4.531025      0.163    34.1945  1024.5667
 07/15/2019   21:23:44      0.163    18.3627   4.531073      0.162    34.1938  1024.5659
 07/15/2019   21:23:46      0.165    18.3639   4.531102      0.164    34.1930  1024.5650
 07/15/2019   21:23:48      0.165    18.3650   4.531132      0.164    34.1924  1024.5642
 07/15/2019   21:23:50      0.164    18.3659   4.531133      0.163    34.1916  1024.5634
 07/15/2019   21:23:52      0.165    18.3663   4.531059      0.164    34.1907  1024.5626
 07/15/2019   21:23:54      0.164    18.3664   4.530996      0.163    34.1900  1024.5620
