 mm/dd/yyyy   hh:mm:ss       PrdM     Tv290C      C0S/m      DepSM      Sal00  Density00
 06/30/2020   18:09:59     -0.153    12.6007   0.136734     -0.152     0.9605  1000.1760
 06/30/2020   18:10:01      0.532    12.0411   3.460739      0.528    30.0371  1022.7434
 06/30/2020   18:10:03      1.157    11.9000   3.881765      1.148    33.9395  1025.7895
 06/30/2020   18:10:05      1.071    11.8732   3.878923      1.063    33.9362  1025.7916
 06/30/2020   18:10:07      1.047    11.8686   3.879480      1.040    33.9459  1025.7998
 06/30/2020   18:10:09      1.186    11.9015   3.880691      1.177    33.9275  1025.7801
 06/30/2020   18:10:11      1.052    11.9068   3.880899      1.044    33.9248  1025.7763
 06/30/2020   18:10:13      1.135    11.8962   3.881070      1.126    33.9361  1025.7875
 06/30/2020   18:10:15      1.065    11.9312   3.882318      1.058    33.9164  1025.7652
 06/30/2020   18:10:17      1.098    11.9462   3.884972      1.090    33.9286  1025.7721
 06/30/2020   18:10:19      1.048    11.9173   3.887147      1.040    33.9761  1025.8142
 06/30/2020   18:10:21      1.170    11.9629   3.886619      1.161    33.9293  1025.7698
 06/30/2020   18:10:23      0.907    11.9497   3.885150      0.900    33.9272  1025.7695
 06/30/2020   18:10:25      1.065    11.9430   3.882837      1.057    33.9108  1025.7587
 06/30/2020   18:10:27      1.043    11.9488   3.883619      1.035    33.9130  1025.7592
 06/30/2020   18:10:29      1.016    11.9530   3.885083      1.008    33.9235  1025.7665
 06/30/2020   18:10:31      0.933    11.9339   3.883919      0.926    33.9296  1025.7744
 06/30/2020   18:10:33      1.029    11.9376   3.882870      1.021    33.9160  1025.7636
 06/30/2020   18:10:35      1.021    11.9306   3.881512      1.014    33.9091  1025.7596
 06/30/2020   18:10:37      1.116    11.9169   3.881683      1.107    33.9232  1025.7735
 06/30/2020   18:10:39      1.071    11.8544   3.872565      1.063    33.8913  1025.7603
 06/30/2020   18:10:41      1.148    11.8399   3.870417      1.139    33.8835  1025.7573
 06/30/2020   18:10:43      1.116    11.8439   3.870653      1.108    33.8823  1025.7554
 06/30/2020   18:10:45      1.075    11.8428   3.870519      1.067    33.8819  1025.7552
 06/30/2020   18:10:47      1.082    11.8423   3.870455      1.074    33.8818  1025.7552
 06/30/2020   18:10:49      1.141    11.8334   3.869527      1.133    33.8808  1025.7563
 06/30/2020   18:10:51      1.074    11.8350   3.869687      1.066    33.8809  1025.7558
 06/30/2020   18:10:53      1.140    11.8324   3.869435      1.132    33.8808  1025.7566
 06/30/2020   18:10:55      1.152    11.8377   3.869890      1.143    33.8804  1025.7553
 06/30/2020   18:10:57      1.152    11.8343   3.869668      1.143    33.8814  1025.7567
 06/30/2020   18:10:59      2.204    11.8032   3.866726      2.188    33.8806  1025.7666
 06/30/2020   18:11:01      3.131    11.7997   3.866448      3.108    33.8806  1025.7715
 06/30/2020   18:11:03      3.956    11.8060   3.866961      3.926    33.8795  1025.7732
 06/30/2020   18:11:05      5.453    11.8139   3.867581      5.412    33.8777  1025.7770
 06/30/2020   18:11:07      6.235    11.8086   3.867211      6.188    33.8786  1025.7822
 06/30/2020   18:11:09      7.401    11.8071   3.867062      7.345    33.8780  1025.7873
 06/30/2020   18:11:11      7.962    11.8186   3.868003      7.902    33.8765  1025.7865
 06/30/2020   18:11:13      9.301    11.8215   3.868315      9.231    33.8763  1025.7918
 06/30/2020   18:11:15      9.845    11.8342   3.869412      9.771    33.8752  1025.7910
 06/30/2020   18:11:17     10.601    11.8185   3.868073     10.521    33.8761  1025.7980
 06/30/2020   18:11:19     11.254    11.8128   3.867622     11.169    33.8766  1025.8024
 06/30/2020   18:11:21     12.227    11.8080   3.867221     12.136    33.8766  1025.8077
 06/30/2020   18:11:23     12.945    11.7728   3.863939     12.847    33.8764  1025.8174
 06/30/2020   18:11:25     13.380    11.7896   3.865617     13.279    33.8773  1025.8169
 06/30/2020   18:11:27     13.324    11.7706   3.863800     13.224    33.8769  1025.8199
 06/30/2020   18:11:29     12.646    11.7844   3.865042     12.551    33.8767  1025.8141
 06/30/2020   18:11:31     11.714    11.7939   3.865837     11.626    33.8762  1025.8077
 06/30/2020   18:11:33     11.021    11.7981   3.866191     10.938    33.8761  1025.8038
 06/30/2020   18:11:35     10.284    11.8187   3.867955     10.207    33.8749  1025.7956
 06/30/2020   18:11:37     10.070    11.8347   3.869266      9.994    33.8732  1025.7904
 06/30/2020   18:11:39      8.462    11.8442   3.870093      8.399    33.8733  1025.7815
 06/30/2020   18:11:41      8.968    11.8431   3.870025      8.901    33.8735  1025.7840
 06/30/2020   18:11:43      7.907    11.8442   3.870090      7.847    33.8736  1025.7791
 06/30/2020   18:11:45      6.674    11.8458   3.870125      6.625    33.8729  1025.7728
 06/30/2020   18:11:47      5.936    11.8488   3.870335      5.891    33.8725  1025.7686
 06/30/2020   18:11:49      5.045    11.8317   3.868979      5.007    33.8753  1025.7699
 06/30/2020   18:11:51      3.723    11.8153   3.867633      3.695    33.8777  1025.7689
 06/30/2020   18:11:53      2.970    11.8063   3.866838      2.947    33.8785  1025.7679
 06/30/2020   18:11:55      2.250    11.8056   3.866778      2.233    33.8789  1025.7651
 06/30/2020   18:11:57      0.992    11.8248   3.867836      0.984    33.8722  1025.7506
 06/30/2020   18:11:59      0.091    11.8744   3.240469      0.090    28.0052  1021.1950
 06/30/2020   18:12:01     -0.148    11.8737   3.809277     -0.147    33.2597  1025.2608
 06/30/2020   18:12:03     -0.158    11.8649   1.647200     -0.157    13.6994  1010.1290
 06/30/2020   18:12:05     -0.156    11.8661   0.581250     -0.155     4.3178  1002.8714
 06/30/2020   18:12:06     -0.155    11.8670   0.548998     -0.154     4.0136  1002.6357
