 mm/dd/yyyy   hh:mm:ss       PrdM     Tv290C      C0S/m      DepSM      Sal00  Density00
 09/20/2019   18:41:46     -0.098    15.0235   0.876378     -0.098     6.6013  1004.1790
 09/20/2019   18:41:48      0.876    12.8878   3.973861      0.869    33.9330  1025.5923
 09/20/2019   18:41:50      1.340    12.6056   3.950937      1.330    33.9676  1025.6769
 09/20/2019   18:41:52      1.146    12.6437   3.956218      1.137    33.9839  1025.6812
 09/20/2019   18:41:54      1.298    12.6714   3.961693      1.288    34.0113  1025.6976
 09/20/2019   18:41:56      1.376    12.5969   3.958957      1.366    34.0524  1025.7445
 09/20/2019   18:41:58      1.364    12.6919   3.962468      1.354    34.0001  1025.6852
 09/20/2019   18:42:00      1.280    12.7039   3.950236      1.270    33.8724  1025.5835
 09/20/2019   18:42:02      1.298    12.6416   3.951749      1.288    33.9430  1025.6506
 09/20/2019   18:42:04      1.456    12.7921   3.968992      1.445    33.9726  1025.6446
 09/20/2019   18:42:06      1.366    12.8843   3.975774      1.355    33.9540  1025.6116
 09/20/2019   18:42:08      1.274    13.0601   3.982675      1.264    33.8621  1025.5051
 09/20/2019   18:42:10      1.434    13.0514   3.989421      1.423    33.9339  1025.5631
 09/20/2019   18:42:12      1.330    13.1453   3.991339      1.320    33.8682  1025.4930
 09/20/2019   18:42:14      1.526    13.0480   3.999115      1.515    34.0288  1025.6377
 09/20/2019   18:42:16      1.316    13.1156   4.001421      1.306    33.9900  1025.5932
 09/20/2019   18:42:18      1.315    13.1714   3.998791      1.305    33.9152  1025.5241
 09/20/2019   18:42:20      1.367    13.2744   4.005438      1.357    33.8861  1025.4811
 09/20/2019   18:42:22      1.469    13.2230   4.005721      1.458    33.9347  1025.5295
 09/20/2019   18:42:24      1.502    13.3676   4.010745      1.490    33.8531  1025.4374
 09/20/2019   18:42:26      1.458    13.3656   4.014788      1.447    33.8930  1025.4684
 09/20/2019   18:42:28      0.847    13.5546   4.026330      0.841    33.8338  1025.3815
 09/20/2019   18:42:30      0.409    13.1901   3.989336      0.406    33.8077  1025.4324
 09/20/2019   18:42:32      0.422    12.4853   3.914061      0.419    33.7224  1025.5060
