 mm/dd/yyyy   hh:mm:ss       PrdM     Tv290C      C0S/m      DepSM      Sal00  Density00
 07/18/2019   19:31:12     -0.139    14.8167   0.000026     -0.138     0.0076   999.1338
 07/18/2019   19:31:14     -0.137    14.8276   0.000024     -0.136     0.0077   999.1322
 07/18/2019   19:31:16     -0.139    14.8329   0.000026     -0.138     0.0077   999.1314
 07/18/2019   19:31:18     -0.139    14.8359   0.000022     -0.138     0.0077   999.1309
 07/18/2019   19:31:20     -0.138    14.8442   0.000025     -0.137     0.0077   999.1297
 07/18/2019   19:31:22     -0.139    14.8478   0.000027     -0.138     0.0077   999.1292
 07/18/2019   19:31:24     -0.141    14.8565   0.000025     -0.140     0.0077   999.1279
 07/18/2019   19:31:26     -0.139    14.8640  -0.000002     -0.138     0.0058   999.1253
 07/18/2019   19:31:28     -0.140    14.8662   0.000025     -0.139     0.0067   999.1257
 07/18/2019   19:31:30     -0.139    14.8692   0.000023     -0.138     0.0077   999.1260
 07/18/2019   19:31:32     -0.139    14.8766   0.000030     -0.138     0.0077   999.1249
 07/18/2019   19:31:34     -0.141    14.8813   0.000021     -0.140     0.0067   999.1234
 07/18/2019   19:31:36     -0.140    14.8841   0.000005     -0.139     0.0049   999.1215
 07/18/2019   19:31:38     -0.140    14.8811  -0.000964     -0.139     0.0115   999.1272
 07/18/2019   19:31:40     -0.087    13.8760   0.835736     -0.087     6.9450  1004.6245
 07/18/2019   19:31:42      0.647    11.8035   3.873549      0.642    33.9476  1025.8117
 07/18/2019   19:31:44      1.516    11.9439   3.893985      1.504    34.0182  1025.8439
 07/18/2019   19:31:46      1.620    11.9002   3.874378      1.608    33.8671  1025.7353
 07/18/2019   19:31:48      1.396    11.8691   3.886990      1.386    34.0184  1025.8577
 07/18/2019   19:31:50      1.591    11.9801   3.892521      1.579    33.9709  1025.8007
 07/18/2019   19:31:52      1.543    11.9240   3.900847      1.531    34.1033  1025.9139
 07/18/2019   19:31:54      1.514    11.9499   3.901020      1.503    34.0812  1025.8917
 07/18/2019   19:31:56      1.551    11.9072   3.883863      1.539    33.9529  1025.8002
 07/18/2019   19:31:58      1.525    11.6934   3.853184      1.513    33.8486  1025.7592
 07/18/2019   19:32:00      1.502    11.6880   3.853072      1.491    33.8524  1025.7631
 07/18/2019   19:32:02      1.515    11.6701   3.850982      1.503    33.8483  1025.7633
 07/18/2019   19:32:04      1.437    11.6854   3.852549      1.426    33.8497  1025.7612
 07/18/2019   19:32:06      1.422    11.6742   3.851344      1.411    33.8481  1025.7620
 07/18/2019   19:32:08      1.348    11.6676   3.850530      1.337    33.8462  1025.7614
 07/18/2019   19:32:10      1.281    11.6601   3.850183      1.271    33.8497  1025.7651
 07/18/2019   19:32:12      1.449    11.6131   3.845484      1.438    33.8465  1025.7722
 07/18/2019   19:32:14      1.282    11.6223   3.846395      1.273    33.8471  1025.7701
 07/18/2019   19:32:16      1.540    11.6312   3.847024      1.529    33.8450  1025.7680
 07/18/2019   19:32:18      1.391    11.6483   3.848805      1.381    33.8469  1025.7656
 07/18/2019   19:32:20      1.342    11.6434   3.848415      1.332    33.8476  1025.7669
 07/18/2019   19:32:22      1.435    11.6091   3.844978      1.424    33.8452  1025.7717
 07/18/2019   19:32:24      1.553    11.6494   3.848931      1.542    33.8471  1025.7663
 07/18/2019   19:32:26      1.445    11.6439   3.848550      1.434    33.8484  1025.7679
 07/18/2019   19:32:28      1.563    11.5787   3.842234      1.552    33.8460  1025.7786
 07/18/2019   19:32:30      1.581    11.5676   3.841196      1.570    33.8460  1025.7807
 07/18/2019   19:32:32      1.466    11.6103   3.845373      1.455    33.8479  1025.7738
 07/18/2019   19:32:34      1.517    11.6224   3.846240      1.506    33.8454  1025.7699
 07/18/2019   19:32:36      1.449    11.6676   3.850670      1.438    33.8475  1025.7628
 07/18/2019   19:32:38      1.405    11.7146   3.854936      1.395    33.8464  1025.7530
 07/18/2019   19:32:40      1.629    11.6515   3.849283      1.617    33.8486  1025.7674
 07/18/2019   19:32:42      2.765    11.4511   3.831516      2.745    33.8568  1025.8160
 07/18/2019   19:32:44      4.046    11.0921   3.797188      4.016    33.8468  1025.8792
 07/18/2019   19:32:46      5.365    10.9844   3.788352      5.325    33.8576  1025.9129
 07/18/2019   19:32:48      6.748    10.9197   3.782627      6.698    33.8598  1025.9324
 07/18/2019   19:32:50      8.026    10.7509   3.766885      7.966    33.8582  1025.9669
 07/18/2019   19:32:52      9.174    10.5380   3.747967      9.106    33.8653  1026.0150
 07/18/2019   19:32:54     10.848    10.1564   3.713162     10.767    33.8687  1026.0912
 07/18/2019   19:32:56     11.593    10.0787   3.706519     11.506    33.8737  1026.1117
