 mm/dd/yyyy   hh:mm:ss       PrdM     Tv290C      C0S/m      DepSM      Sal00  Density00
 09/20/2019   18:25:09     -0.153    14.1731   0.734488     -0.152     5.2451  1003.2678
 09/20/2019   18:25:11     -0.154    14.1428   0.476627     -0.153     3.3233  1001.7930
 09/20/2019   18:25:13      0.493    13.6251   3.987431      0.490    33.4142  1025.0416
 09/20/2019   18:25:15      1.294    13.5369   4.022311      1.285    33.8116  1025.3700
 09/20/2019   18:25:17      1.409    13.4955   4.020743      1.399    33.8335  1025.3959
 09/20/2019   18:25:19      1.478    13.4187   4.020559      1.467    33.9001  1025.4633
 09/20/2019   18:25:21      1.440    13.3417   4.015821      1.429    33.9240  1025.4972
 09/20/2019   18:25:23      1.356    13.3759   4.017860      1.346    33.9127  1025.4812
 09/20/2019   18:25:25      1.510    13.4282   4.017644      1.499    33.8642  1025.4337
 09/20/2019   18:25:27      1.355    13.3647   4.015327      1.345    33.8989  1025.4727
 09/20/2019   18:25:29      1.360    13.3692   4.017263      1.350    33.9133  1025.4830
 09/20/2019   18:25:31      1.285    13.3500   4.011969      1.275    33.8803  1025.4610
 09/20/2019   18:25:33      1.450    13.1966   4.008865      1.439    33.9881  1025.5761
 09/20/2019   18:25:35      1.490    13.3385   4.014541      1.479    33.9148  1025.4909
 09/20/2019   18:25:37      1.586    13.2997   4.007415      1.574    33.8822  1025.4740
 09/20/2019   18:25:39      1.816    13.2930   4.014176      1.802    33.9518  1025.5303
 09/20/2019   18:25:41      1.699    13.4938   4.023019      1.686    33.8564  1025.4152
 09/20/2019   18:25:43      1.397    13.5180   4.027255      1.386    33.8748  1025.4231
 09/20/2019   18:25:45      1.263    13.7101   4.041851      1.253    33.8412  1025.3573
 09/20/2019   18:25:47      1.063    13.9033   4.057726      1.055    33.8189  1025.2992
 09/20/2019   18:25:49      1.033    13.8459   4.057352      1.026    33.8661  1025.3474
 09/20/2019   18:25:51      1.038    13.7213   4.047033      1.030    33.8800  1025.3839
 09/20/2019   18:25:53      1.031    13.6218   4.026966      1.023    33.7799  1025.3268
 09/20/2019   18:25:55      1.032    13.2486   3.985339      1.024    33.7194  1025.3558
 09/20/2019   18:25:57      1.096    13.1911   3.980623      1.088    33.7259  1025.3727
 09/20/2019   18:25:59      1.111    13.1643   3.977893      1.103    33.7239  1025.3766
 09/20/2019   18:26:01      1.043    13.1227   3.974034      1.035    33.7244  1025.3850
 09/20/2019   18:26:03      1.022    13.1350   3.974810      1.015    33.7208  1025.3796
 09/20/2019   18:26:05      1.108    13.3181   3.992825      1.099    33.7283  1025.3491
 09/20/2019   18:26:07      1.122    13.3012   3.990351      1.113    33.7201  1025.3462
 09/20/2019   18:26:09      0.981    13.2938   3.990112      0.973    33.7244  1025.3503
 09/20/2019   18:26:11      1.091    13.2120   3.981624      1.083    33.7169  1025.3615
 09/20/2019   18:26:13      1.081    13.2404   3.985213      1.073    33.7255  1025.3624
 09/20/2019   18:26:15      1.239    13.2787   3.989284      1.230    33.7298  1025.3588
 09/20/2019   18:26:17      1.470    13.0621   3.966813      1.459    33.7098  1025.3876
 09/20/2019   18:26:19      2.046    12.7388   3.937383      2.031    33.7179  1025.4603
 09/20/2019   18:26:21      2.749    12.5619   3.921684      2.729    33.7258  1025.5042
 09/20/2019   18:26:23      3.490    12.5333   3.919062      3.464    33.7260  1025.5133
 09/20/2019   18:26:25      4.212    12.4787   3.913685      4.180    33.7232  1025.5249
 09/20/2019   18:26:27      4.821    12.4456   3.910840      4.785    33.7253  1025.5357
 09/20/2019   18:26:29      5.641    12.4110   3.907646      5.599    33.7254  1025.5461
 09/20/2019   18:26:31      6.640    12.4167   3.908190      6.591    33.7250  1025.5492
 09/20/2019   18:26:33      7.717    12.3678   3.903510      7.659    33.7234  1025.5622
 09/20/2019   18:26:35      8.375    12.2780   3.895557      8.312    33.7274  1025.5855
 09/20/2019   18:26:37      8.948    12.1490   3.883560      8.881    33.7274  1025.6127
 09/20/2019   18:26:39      9.857    11.9375   3.863618      9.783    33.7249  1025.6549
 09/20/2019   18:26:41     10.793    11.8565   3.856676     10.712    33.7303  1025.6785
 09/20/2019   18:26:43     10.688    11.9138   3.862308     10.608    33.7332  1025.6696
 09/20/2019   18:26:45     10.974    11.8371   3.854906     10.892    33.7306  1025.6832
 09/20/2019   18:26:47     11.695    11.7415   3.846071     11.607    33.7308  1025.7044
 09/20/2019   18:26:49     12.502    11.6886   3.841337     12.408    33.7323  1025.7191
 09/20/2019   18:26:51     12.672    11.6844   3.841118     12.576    33.7339  1025.7219
 09/20/2019   18:26:53     13.312    11.6003   3.833166     13.212    33.7322  1025.7391
 09/20/2019   18:26:55     14.118    11.2232   3.798553     14.012    33.7348  1025.8132
 09/20/2019   18:26:57     15.023    10.5090   3.734936     14.910    33.7586  1025.9634
 09/20/2019   18:26:59     15.771    10.4792   3.733139     15.653    33.7678  1025.9791
 09/20/2019   18:27:01     16.105    10.5014   3.734964     15.984    33.7654  1025.9749
 09/20/2019   18:27:03     15.971    10.6033   3.744142     15.851    33.7632  1025.9548
 09/20/2019   18:27:05     14.788    10.6515   3.747636     14.677    33.7543  1025.9340
 09/20/2019   18:27:07     13.598    10.9887   3.778232     13.496    33.7492  1025.8647
 09/20/2019   18:27:09     12.632    11.4607   3.820607     12.537    33.7364  1025.7650
 09/20/2019   18:27:11     11.502    11.6516   3.837464     11.416    33.7284  1025.7185
 09/20/2019   18:27:13     10.050    11.8733   3.857845      9.975    33.7268  1025.6693
 09/20/2019   18:27:15      8.979    12.0488   3.873850      8.912    33.7240  1025.6292
 09/20/2019   18:27:17      7.844    12.2390   3.891319      7.785    33.7218  1025.5862
 09/20/2019   18:27:19      6.757    12.3686   3.903055      6.707    33.7188  1025.5542
 09/20/2019   18:27:21      5.710    12.4028   3.906261      5.668    33.7193  1025.5433
 09/20/2019   18:27:23      4.627    12.4300   3.908659      4.593    33.7184  1025.5325
 09/20/2019   18:27:25      3.550    12.5079   3.916180      3.523    33.7211  1025.5147
 09/20/2019   18:27:27      2.789    12.5449   3.919458      2.768    33.7197  1025.5030
 09/20/2019   18:27:29      1.899    12.6646   3.930682      1.885    33.7203  1025.4761
