 mm/dd/yyyy   hh:mm:ss       PrdM     Tv290C      C0S/m      DepSM      Sal00  Density00
 06/23/2020   19:24:08     -0.131    13.3413   0.215538     -0.130     1.4527  1000.4625
 06/23/2020   19:24:10      0.510    13.2951   3.755746      0.506    31.6230  1023.7283
 06/23/2020   19:24:12      0.713    13.1442   4.017116      0.707    34.1134  1025.6803
 06/23/2020   19:24:14      0.734    13.0490   4.003695      0.728    34.0716  1025.6671
 06/23/2020   19:24:16      0.778    12.8464   3.990149      0.772    34.1255  1025.7493
 06/23/2020   19:24:18      0.761    12.7554   3.984423      0.755    34.1532  1025.7887
 06/23/2020   19:24:20      0.682    12.7496   3.978990      0.676    34.1065  1025.7533
 06/23/2020   19:24:22      0.702    12.7211   3.974505      0.697    34.0894  1025.7457
 06/23/2020   19:24:24      0.721    12.7091   3.972915      0.715    34.0850  1025.7448
 06/23/2020   19:24:26      0.695    12.7239   3.973992      0.690    34.0819  1025.7394
 06/23/2020   19:24:28      0.705    12.8187   3.980858      0.699    34.0618  1025.7052
 06/23/2020   19:24:30      0.710    12.8315   3.984032      0.705    34.0806  1025.7172
 06/23/2020   19:24:32      0.729    12.8154   3.983227      0.723    34.0874  1025.7257
 06/23/2020   19:24:34      0.731    12.8000   3.983696      0.726    34.1058  1025.7431
 06/23/2020   19:24:36      0.678    12.8385   3.984738      0.673    34.0810  1025.7160
 06/23/2020   19:24:38      0.751    12.8609   3.986574      0.746    34.0783  1025.7098
 06/23/2020   19:24:40      0.725    12.8945   3.986867      0.720    34.0508  1025.6817
 06/23/2020   19:24:42      0.731    12.9137   3.988616      0.725    34.0502  1025.6775
 06/23/2020   19:24:44      0.697    12.9190   3.988460      0.691    34.0439  1025.6715
 06/23/2020   19:24:46      0.717    12.9309   3.989076      0.712    34.0390  1025.6653
 06/23/2020   19:24:48      0.702    12.7624   3.967372      0.697    33.9838  1025.6558
 06/23/2020   19:24:50      0.737    12.7388   3.968422      0.732    34.0151  1025.6848
 06/23/2020   19:24:52      0.686    12.7560   3.970804      0.681    34.0224  1025.6869
 06/23/2020   19:24:54      0.694    12.7960   3.972695      0.689    34.0043  1025.6651
 06/23/2020   19:24:56      0.624    12.8257   3.973454      0.620    33.9849  1025.6439
 06/23/2020   19:24:58      0.612    12.8539   3.974176      0.608    33.9664  1025.6239
 06/23/2020   19:25:00      0.609    12.8671   3.975329      0.604    33.9655  1025.6206
 06/23/2020   19:25:02      0.698    12.8731   3.976079      0.692    33.9672  1025.6211
 06/23/2020   19:25:04      0.696    12.8647   3.976800      0.691    33.9816  1025.6339
 06/23/2020   19:25:06      0.732    12.8275   3.976996      0.727    34.0171  1025.6689
 06/23/2020   19:25:08      0.739    12.8164   3.977562      0.733    34.0324  1025.6830
 06/23/2020   19:25:10      0.512    12.8379   3.978533      0.508    34.0224  1025.6700
 06/23/2020   19:25:12      0.219    12.8995   3.979375      0.217    33.9751  1025.6198
 06/23/2020   19:25:14      0.081    12.9367   3.979906      0.080    33.9468  1025.5899
 06/23/2020   19:25:16      0.128    12.9450   3.979818      0.127    33.9385  1025.5820
 06/23/2020   19:25:18      0.620    13.0464   3.983419      0.615    33.8816  1025.5200
 06/23/2020   19:25:20      0.789    13.1003   3.986446      0.783    33.8620  1025.4949
 06/23/2020   19:25:22      1.043    13.0705   3.984810      1.035    33.8731  1025.5105
 06/23/2020   19:25:24      2.056    12.8841   3.985693      2.041    34.0485  1025.6879
 06/23/2020   19:25:26      3.152    12.6739   3.969167      3.129    34.0799  1025.7586
 06/23/2020   19:25:28      4.278    12.5121   3.948347      4.245    34.0260  1025.7536
 06/23/2020   19:25:30      5.125    12.4537   3.938066      5.086    33.9798  1025.7328
 06/23/2020   19:25:32      6.581    12.3217   3.925809      6.531    33.9806  1025.7654
 06/23/2020   19:25:34      7.444    12.2352   3.918151      7.388    33.9849  1025.7893
 06/23/2020   19:25:36      8.422    12.2145   3.919748      8.358    34.0187  1025.8239
 06/23/2020   19:25:38      9.389    12.1779   3.917190      9.319    34.0268  1025.8415
 06/23/2020   19:25:40     10.492    12.0186   3.909523     10.413    34.0974  1025.9316
 06/23/2020   19:25:42     10.408    11.8425   3.885895     10.330    34.0283  1025.9109
 06/23/2020   19:25:44      9.631    11.9508   3.891680      9.558    33.9860  1025.8541
 06/23/2020   19:25:46      9.801    12.0305   3.899629      9.727    33.9905  1025.8433
 06/23/2020   19:25:48      9.626    12.0445   3.901216      9.554    33.9933  1025.8421
 06/23/2020   19:25:50      8.811    12.0859   3.903140      8.745    33.9746  1025.8160
 06/23/2020   19:25:52      7.947    12.1150   3.906479      7.887    33.9809  1025.8114
 06/23/2020   19:25:54      7.010    12.1277   3.909257      6.957    33.9967  1025.8170
 06/23/2020   19:25:56      5.962    12.1490   3.911115      5.917    33.9957  1025.8075
 06/23/2020   19:25:58      5.079    12.1877   3.913043      5.042    33.9796  1025.7837
 06/23/2020   19:26:00      4.056    12.1969   3.914507      4.026    33.9858  1025.7822
 06/23/2020   19:26:02      3.090    12.2084   3.915587      3.066    33.9862  1025.7759
 06/23/2020   19:26:04      2.102    12.2271   3.915700      2.087    33.9707  1025.7559
 06/23/2020   19:26:06      1.104    12.2379   3.915012      1.096    33.9547  1025.7369
 06/23/2020   19:26:08      0.182    12.2310   3.913673      0.180    33.9484  1025.7292
 06/23/2020   19:26:10     -0.162    12.3814   2.281966     -0.161    19.0909  1014.2188
 06/23/2020   19:26:12     -0.163    12.3991   0.569831     -0.162     4.1664  1002.6869
 06/23/2020   19:26:13     -0.162    12.4006   0.472106     -0.161     3.5063  1002.1760
