 mm/dd/yyyy   hh:mm:ss       PrdM     Tv290C      C0S/m      DepSM      Sal00  Density00
 10/11/2019   17:04:03     -0.089    11.1170   0.644164     -0.088     5.3006  1003.7110
 10/11/2019   17:04:05      0.676    11.5446   3.839731      0.671    33.8540  1025.7872
 10/11/2019   17:04:07      0.949    11.5143   3.823671      0.941    33.7227  1025.6920
 10/11/2019   17:04:09      1.019    11.5205   3.823298      1.012    33.7134  1025.6839
 10/11/2019   17:04:11      1.000    11.5160   3.822776      0.993    33.7124  1025.6838
 10/11/2019   17:04:13      1.001    11.5172   3.822751      0.994    33.7110  1025.6825
 10/11/2019   17:04:15      1.069    11.5113   3.822437      1.061    33.7133  1025.6856
 10/11/2019   17:04:17      0.951    11.5028   3.822354      0.943    33.7202  1025.6921
 10/11/2019   17:04:19      1.074    11.5060   3.823755      1.066    33.7311  1025.7005
 10/11/2019   17:04:21      1.026    11.5004   3.823161      1.019    33.7303  1025.7007
 10/11/2019   17:04:23      1.013    11.5014   3.822804      1.005    33.7260  1025.6971
 10/11/2019   17:04:25      1.063    11.5048   3.823139      1.055    33.7261  1025.6968
 10/11/2019   17:04:27      0.990    11.4890   3.822359      0.982    33.7329  1025.7046
 10/11/2019   17:04:29      1.036    11.4968   3.822486      1.029    33.7270  1025.6989
 10/11/2019   17:04:31      1.074    11.4947   3.822510      1.066    33.7292  1025.7011
 10/11/2019   17:04:33      0.994    11.4972   3.822485      0.987    33.7267  1025.6984
 10/11/2019   17:04:35      1.051    11.4953   3.821794      1.043    33.7215  1025.6949
 10/11/2019   17:04:37      1.099    11.4893   3.822203      1.090    33.7310  1025.7036
 10/11/2019   17:04:39      1.003    11.4901   3.822189      0.995    33.7302  1025.7024
 10/11/2019   17:04:41      1.020    11.4972   3.821898      1.012    33.7209  1025.6940
 10/11/2019   17:04:43      1.031    11.4923   3.822492      1.023    33.7311  1025.7028
 10/11/2019   17:04:45      1.033    11.5172   3.824106      1.026    33.7243  1025.6930
