 mm/dd/yyyy   hh:mm:ss       PrdM     Tv290C      C0S/m      DepSM      Sal00  Density00
 09/20/2019   17:09:20      0.005    13.8233   0.904550      0.005     7.9078  1005.3741
 09/20/2019   17:09:22      1.070    12.4448   3.901232      1.062    33.6360  1025.4497
 09/20/2019   17:09:24      1.308    12.3879   3.918377      1.298    33.8513  1025.6288
 09/20/2019   17:09:26      1.215    12.3113   3.905470      1.206    33.7961  1025.6003
 09/20/2019   17:09:28      1.275    12.3866   3.911470      1.265    33.7860  1025.5782
 09/20/2019   17:09:30      1.265    12.3647   3.907542      1.256    33.7678  1025.5682
 09/20/2019   17:09:32      1.218    12.3542   3.912555      1.210    33.8257  1025.6149
 09/20/2019   17:09:34      1.244    12.3367   3.911885      1.234    33.8349  1025.6256
 09/20/2019   17:09:36      1.195    12.3512   3.911679      1.186    33.8199  1025.6110
 09/20/2019   17:09:38      1.212    12.3735   3.916228      1.203    33.8436  1025.6251
 09/20/2019   17:09:40      1.287    12.4063   3.916205      1.277    33.8138  1025.5960
 09/20/2019   17:09:42      1.165    12.4313   3.914764      1.156    33.7775  1025.5625
 09/20/2019   17:09:44      1.201    12.4690   3.917643      1.192    33.7712  1025.5504
 09/20/2019   17:09:46      1.209    12.4758   3.916970      1.200    33.7587  1025.5395
 09/20/2019   17:09:48      1.251    12.4469   3.917234      1.242    33.7871  1025.5673
 09/20/2019   17:09:50      1.171    12.4300   3.914708      1.163    33.7781  1025.5632
 09/20/2019   17:09:52      1.220    12.4689   3.918437      1.211    33.7789  1025.5565
 09/20/2019   17:09:54      1.238    12.4879   3.919958      1.229    33.7764  1025.5510
 09/20/2019   17:09:56      1.248    12.5460   3.922900      1.239    33.7525  1025.5212
 09/20/2019   17:09:58      1.281    12.5884   3.922391      1.271    33.7095  1025.4798
 09/20/2019   17:10:00      1.262    12.5013   3.920985      1.253    33.7742  1025.5469
 09/20/2019   17:10:02      1.252    12.4361   3.913795      1.243    33.7638  1025.5513
 09/20/2019   17:10:04      1.244    12.4106   3.905794      1.235    33.7096  1025.5141
 09/20/2019   17:10:06      1.308    12.1865   3.885721      1.298    33.7178  1025.5638
 09/20/2019   17:10:08      1.274    12.1793   3.885453      1.264    33.7218  1025.5681
 09/20/2019   17:10:10      1.154    12.2010   3.887625      1.146    33.7232  1025.5645
 09/20/2019   17:10:12      1.268    12.1805   3.885464      1.258    33.7208  1025.5671
 09/20/2019   17:10:14      1.281    12.1647   3.884073      1.271    33.7216  1025.5708
 09/20/2019   17:10:16      1.270    12.1611   3.883842      1.260    33.7226  1025.5722
 09/20/2019   17:10:18      1.276    12.1648   3.884167      1.266    33.7224  1025.5713
 09/20/2019   17:10:20      1.282    12.1679   3.884465      1.272    33.7225  1025.5709
 09/20/2019   17:10:22      0.962    12.2043   3.887643      0.955    33.7205  1025.5609
 09/20/2019   17:10:24      0.685    12.2777   3.894779      0.680    33.7233  1025.5478
 09/20/2019   17:10:26      1.549    12.1411   3.881725      1.538    33.7201  1025.5753
 09/20/2019   17:10:28      2.639    11.9827   3.867607      2.619    33.7258  1025.6146
 09/20/2019   17:10:30      3.549    11.8772   3.857558      3.522    33.7233  1025.6366
 09/20/2019   17:10:32      4.654    11.8464   3.855097      4.620    33.7266  1025.6500
 09/20/2019   17:10:34      5.363    11.8281   3.853466      5.323    33.7271  1025.6569
 09/20/2019   17:10:36      6.591    11.8017   3.850985      6.541    33.7263  1025.6668
 09/20/2019   17:10:38      7.899    11.7993   3.850806      7.840    33.7262  1025.6731
 09/20/2019   17:10:40      8.576    11.7961   3.850533      8.512    33.7261  1025.6766
 09/20/2019   17:10:42      9.421    11.7969   3.850616      9.351    33.7259  1025.6801
 09/20/2019   17:10:44     10.552    11.7933   3.850408     10.473    33.7266  1025.6864
 09/20/2019   17:10:46     11.784    11.0687   3.784284     11.695    33.7356  1025.8307
