 mm/dd/yyyy   hh:mm:ss       PrdM     Tv290C      C0S/m      DepSM      Sal00  Density00
 09/03/2020   18:54:40     -0.127    14.1504   0.059073     -0.126     0.3667   999.5093
 09/03/2020   18:54:42     -0.127    14.1547   0.061263     -0.126     0.3807   999.5196
 09/03/2020   18:54:44     -0.127    14.1558   0.097924     -0.126     0.6218   999.7062
 09/03/2020   18:54:46     -0.135    14.1639   0.227269     -0.134     1.5039  1000.3874
 09/03/2020   18:54:48     -0.136    14.1742   0.123924     -0.135     0.7928   999.8361
 09/03/2020   18:54:50     -0.137    14.1830   0.110377     -0.136     0.7018   999.7644
 09/03/2020   18:54:52     -0.137    14.1894   0.108703     -0.136     0.6906   999.7548
 09/03/2020   18:54:54     -0.137    14.1974   0.089429     -0.136     0.5634   999.6551
 09/03/2020   18:54:56     -0.131    14.1825   0.225142     -0.130     1.6007  1000.4554
 09/03/2020   18:54:58      0.503    13.9704   3.881311      0.499    32.1449  1023.9912
 09/03/2020   18:55:00      0.975    13.9697   4.030945      0.968    33.5119  1025.0479
 09/03/2020   18:55:02      0.968    13.9713   4.033622      0.961    33.5353  1025.0656
 09/03/2020   18:55:04      0.837    13.9598   4.032837      0.831    33.5381  1025.0696
 09/03/2020   18:55:06      0.851    13.9504   4.031777      0.845    33.5365  1025.0703
 09/03/2020   18:55:08      0.952    13.9507   4.032728      0.945    33.5450  1025.0773
 09/03/2020   18:55:10      0.961    13.9610   4.033527      0.953    33.5434  1025.0739
 09/03/2020   18:55:12      0.935    13.9626   4.033463      0.928    33.5414  1025.0719
 09/03/2020   18:55:14      1.007    13.9578   4.032527      0.999    33.5369  1025.0698
 09/03/2020   18:55:16      1.150    13.9560   4.032690      1.142    33.5399  1025.0731
 09/03/2020   18:55:18      1.174    13.9520   4.031721      1.166    33.5344  1025.0699
 09/03/2020   18:55:20      1.134    13.9467   4.031558      1.126    33.5376  1025.0732
 09/03/2020   18:55:22      1.089    13.9555   4.032028      1.081    33.5342  1025.0686
 09/03/2020   18:55:24      1.164    13.9485   4.030664      1.155    33.5276  1025.0653
 09/03/2020   18:55:26      1.172    13.9383   4.029340      1.163    33.5243  1025.0648
 09/03/2020   18:55:28      1.151    13.9380   4.029292      1.142    33.5241  1025.0647
 09/03/2020   18:55:30      1.133    13.9387   4.029404      1.124    33.5245  1025.0647
 09/03/2020   18:55:32      1.108    13.9331   4.028805      1.100    33.5238  1025.0652
 09/03/2020   18:55:34      1.144    13.9300   4.028475      1.136    33.5235  1025.0658
 09/03/2020   18:55:36      1.170    13.9208   4.027821      1.161    33.5254  1025.0693
 09/03/2020   18:55:38      1.150    13.9048   4.025929      1.141    33.5219  1025.0698
 09/03/2020   18:55:40      1.099    13.9041   4.026039      1.091    33.5235  1025.0710
