 mm/dd/yyyy   hh:mm:ss       PrdM     Tv290C      C0S/m      DepSM      Sal00  Density00
 09/30/2020   18:39:00     -0.121    12.4225   0.209158     -0.120     1.4363  1000.5684
 09/30/2020   18:39:02     -0.121    12.4217   0.182275     -0.120     1.2425  1000.4179
 09/30/2020   18:39:04     -0.122    12.4220   0.186865     -0.121     1.2759  1000.4437
 09/30/2020   18:39:06     -0.122    12.4243   0.212387     -0.121     1.4597  1000.5863
 09/30/2020   18:39:08     -0.122    12.4266   0.185546     -0.121     1.2658  1000.4353
 09/30/2020   18:39:10     -0.121    12.4282   0.188950     -0.120     1.2903  1000.4542
 09/30/2020   18:39:12     -0.121    12.4238   0.162039     -0.120     1.0988  1000.3058
 09/30/2020   18:39:14      0.383    12.1024   3.535623      0.381    30.5903  1023.1578
 09/30/2020   18:39:16      0.807    12.0470   3.876410      0.801    33.7538  1025.6160
 09/30/2020   18:39:18      0.802    12.0234   3.874982      0.796    33.7614  1025.6263
 09/30/2020   18:39:20      0.780    12.0300   3.874563      0.774    33.7514  1025.6172
 09/30/2020   18:39:22      0.803    12.0434   3.875159      0.797    33.7450  1025.6098
 09/30/2020   18:39:24      0.772    12.0564   3.877361      0.767    33.7546  1025.6147
 09/30/2020   18:39:26      0.778    12.0710   3.877940      0.772    33.7471  1025.6061
 09/30/2020   18:39:28      0.824    12.0859   3.878955      0.818    33.7433  1025.6006
 09/30/2020   18:39:30      0.766    12.1000   3.880312      0.760    33.7438  1025.5980
 09/30/2020   18:39:32      0.824    12.1110   3.881370      0.818    33.7441  1025.5964
 09/30/2020   18:39:34      0.831    12.0934   3.880110      0.824    33.7478  1025.6026
 09/30/2020   18:39:36      0.836    12.0809   3.878666      0.830    33.7450  1025.6029
 09/30/2020   18:39:38      0.811    12.0809   3.877880      0.805    33.7374  1025.5968
 09/30/2020   18:39:40      0.836    12.0737   3.877856      0.829    33.7437  1025.6032
 09/30/2020   18:39:42      0.820    12.0701   3.877670      0.813    33.7452  1025.6050
 09/30/2020   18:39:44      0.792    12.0597   3.876020      0.786    33.7386  1025.6017
 09/30/2020   18:39:46      0.802    12.0202   3.869670      0.796    33.7127  1025.5891
 09/30/2020   18:39:48      0.851    12.0108   3.868724      0.845    33.7120  1025.5906
 09/30/2020   18:39:50      0.829    12.0080   3.868492      0.823    33.7122  1025.5912
 09/30/2020   18:39:52      0.856    12.0205   3.869674      0.849    33.7125  1025.5891
 09/30/2020   18:39:54      0.825    12.0250   3.870018      0.819    33.7118  1025.5876
 09/30/2020   18:39:56      0.789    12.0173   3.869306      0.783    33.7118  1025.5889
 09/30/2020   18:39:58      0.805    12.0031   3.868031      0.799    33.7122  1025.5920
 09/30/2020   18:40:00      0.822    11.9916   3.867094      0.816    33.7135  1025.5952
 09/30/2020   18:40:02      0.838    11.9821   3.866052      0.831    33.7120  1025.5959
 09/30/2020   18:40:04      0.837    11.9917   3.867032      0.831    33.7128  1025.5947
 09/30/2020   18:40:06      0.799    11.9897   3.866810      0.793    33.7125  1025.5947
 09/30/2020   18:40:08      0.823    12.0044   3.868076      0.816    33.7114  1025.5912
 09/30/2020   18:40:10      0.830    12.0250   3.870102      0.824    33.7126  1025.5882
 09/30/2020   18:40:12      0.877    12.0039   3.868019      0.871    33.7113  1025.5915
 09/30/2020   18:40:14      1.669    11.9659   3.864803      1.656    33.7141  1025.6044
 09/30/2020   18:40:16      2.885    11.8195   3.851075      2.864    33.7126  1025.6361
 09/30/2020   18:40:18      3.979    11.6828   3.838802      3.949    33.7164  1025.6695
 09/30/2020   18:40:20      5.095    11.6893   3.839831      5.057    33.7201  1025.6762
 09/30/2020   18:40:22      6.321    11.6258   3.833700      6.274    33.7173  1025.6913
 09/30/2020   18:40:24      7.479    11.5543   3.827456      7.423    33.7206  1025.7123
 09/30/2020   18:40:26      8.643    11.1860   3.793626      8.578    33.7230  1025.7866
 09/30/2020   18:40:28      9.624    11.0451   3.781904      9.552    33.7357  1025.8264
 09/30/2020   18:40:30     10.468    10.9603   3.774157     10.389    33.7363  1025.8458
 09/30/2020   18:40:32     11.684    10.8858   3.767834     11.597    33.7413  1025.8685
 09/30/2020   18:40:34     12.906    10.8457   3.764428     12.809    33.7437  1025.8830
 09/30/2020   18:40:36     13.655    10.8491   3.764716     13.552    33.7432  1025.8854
 09/30/2020   18:40:38     13.446    10.8494   3.764701     13.345    33.7428  1025.8841
 09/30/2020   18:40:40     12.500    10.8490   3.764618     12.406    33.7428  1025.8800
 09/30/2020   18:40:42     11.363    10.8626   3.765661     11.278    33.7412  1025.8711
 09/30/2020   18:40:44     10.508    10.9003   3.768809     10.429    33.7383  1025.8583
 09/30/2020   18:40:46      9.667    10.9519   3.773197      9.594    33.7348  1025.8426
 09/30/2020   18:40:48      8.647    11.0131   3.778507      8.582    33.7318  1025.8247
 09/30/2020   18:40:50      7.799    11.1929   3.794647      7.741    33.7272  1025.7848
 09/30/2020   18:40:52      6.675    11.5263   3.824645      6.625    33.7189  1025.7125
 09/30/2020   18:40:54      5.651    11.5935   3.830521      5.608    33.7158  1025.6931
 09/30/2020   18:40:56      4.717    11.6226   3.833200      4.682    33.7160  1025.6836
 09/30/2020   18:40:58      3.774    11.6304   3.833877      3.746    33.7159  1025.6779
 09/30/2020   18:41:00      2.688    11.6761   3.838193      2.668    33.7171  1025.6654
 09/30/2020   18:41:02      1.623    11.7811   3.847501      1.611    33.7131  1025.6381
 09/30/2020   18:41:04      0.554    11.8867   3.857143      0.550    33.7118  1025.6124
 09/30/2020   18:41:06     -0.092    11.9090   3.856509     -0.091    33.6858  1025.5852
 09/30/2020   18:41:08     -0.126    11.8556   2.373063     -0.125    20.2733  1015.2172
 09/30/2020   18:41:10     -0.127    11.8387   0.571628     -0.126     4.2407  1002.8153
 09/30/2020   18:41:12     -0.126    11.8197   0.331171     -0.125     2.3748  1001.3699
 09/30/2020   18:41:14     -0.127    11.8120   0.270173     -0.126     1.9130  1001.0119
 09/30/2020   18:41:16     -0.128    11.8196   0.251293     -0.127     1.7727  1000.9019
 09/30/2020   18:41:18     -0.127    11.8232   0.343353     -0.126     2.4646  1001.4394
 09/30/2020   18:41:20     -0.126    11.8059   0.247388     -0.125     1.7431  1000.8805
 09/30/2020   18:41:21     -0.126    11.7914   0.196558     -0.125     1.4275  1000.6367
